Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,142750.63,145936.43,145717.69,144560.09,149416.16,151311.86,154827.76,146814.29,151431.4,145678.41,147197.8,145811.2,145302.31,145706.58,146840.62,143794.11,140981,137643.78,137635.28,125173.69,133287.74,122847.37,120090.76,119542.68,113869.55,118107.4,116662.33,116465.76,116999.31,115976.03
Bulgaria,80468.09,62312.15,57260.55,56436.98,52526.62,54038.12,55146.31,51813.38,48075.63,41273.59,39208.65,44900.21,42015.01,47315.7,45810.75,45152.99,49204.96,52244.82,52672.97,43727.44,47022.53,55695.63,51234.67,48278.55,50308.75,54188.37,50267.41,53521.67,50262.74,49484.3
Czechia,189911.77,170083.22,164524.98,156589.51,149126.53,147738.4,151023.61,147533.37,141697.3,131749.21,141399.99,141544.32,138171.36,141898.61,143130.23,140867.57,143407.06,145716.58,139353.05,130005.63,133493.58,131723.06,127620.82,122902.85,120804.39,122277.33,124461.24,127156.68,130834.83,131786.88
Denmark,77995.13,88021.18,82928.63,83892.28,87327.36,84425.26,96846.1,87788.99,83590.6,81289.85,76598.44,77673.48,78149.9,82865.37,76595.13,72136.32,80002.92,75610.97,70593.37,67075.64,66274.7,60597.01,55485.82,56863.29,53368,49733.03,52837.43,50458.23,52159.76,47396.71
Germany,1268921.81,1164710.43,1109104.76,1100617.12,1088427.03,1090715.5,1105254.91,1070886.42,1046448.29,1009110.54,1027336.92,1035219.51,1047328.57,1040111.01,1019768.33,991057.59,990564.77,968231.29,957277.19,882930.68,921074.03,895267.37,890853.07,910652.86,871833.82,877518.95,878975.43,863618.16,830492.43,784842.05
Estonia,37015.28,34263.58,25110.71,18513.04,19560.12,17281.14,17877.33,17478.05,15257.86,14520.3,13274.54,13578.34,13270.32,13206.98,15071.46,17881.75,15817.59,19148.05,17323.76,12766.86,16345.42,16311.88,16476.44,19769.32,19420.86,15908.68,17627.09,19698.37,18687.44,14301.56
Ireland,60588.06,61320.33,61032.23,61791.38,63224.5,65824.21,67634.27,68437.32,70795.05,72206.34,76064.68,79371.83,77079.08,77835.26,75766.84,78135.92,77687.51,75768.31,74760.87,68525.62,69778.9,64760.84,64990.97,65450.61,64634.73,67743.25,69258.11,70298.93,69199.35,66742.41
Greece,101342.74,101198.08,102322.57,101470.14,104454.22,106526.69,110238.47,115486.24,121254.35,120605.44,124591.03,125164.07,124790.05,128799.35,129486.7,133131.43,129193.21,133685.75,128840.37,121550.48,115467.93,112397.74,109185.51,101079.22,99131.01,91705.29,88335.5,92345.26,88286.09,82538.09
Spain,254106.69,262620.7,272960.09,262151.04,281118.61,295434.41,287059.83,301830.35,310709.18,334621.45,348537.54,345255.82,364806.6,373516.18,389380.93,404680.74,395873.98,409287.5,375436.32,338099.11,321431.93,321187.92,315953.18,290251.74,290354.23,299448.05,287778.91,300752.91,295102.95,276723.2
France,520100.22,546890.85,536828.27,513610.62,508688.75,511596.26,522218.87,514393.43,526946.6,518135.24,529295.95,522536.36,508082.41,508259.43,503990.53,504079.94,491907.26,483212.28,477907.3,465827.4,469112.97,444806.44,443771.93,441014.42,416199.3,423346.42,433763.8,445848.4,429229.91,422251.61
Croatia,25444.41,17569.83,15545.11,15321.25,14149.55,14321.69,15161.26,17153.73,17432.2,17940.86,19106.17,19013.52,19778.84,22025.6,21725.59,21962.64,22527.55,24872.1,23766.03,21382.6,21059.34,22036.76,20712.13,18743.81,18135.63,18920.09,19198.41,20601.7,19177.08,19268.79
Italy,516260.19,502150.5,503172.78,508993.63,490109.09,509920.43,502823.91,518838.31,533708.83,529814.66,536177.49,527505.07,529083.39,556122.27,555568.91,555666.83,544191.78,561551.26,530476.15,471359.59,476268.25,471621.16,461385.79,410809.33,388805.5,398666.49,399039.49,413600.02,394101.81,377672.46
Cyprus,5278.01,5785.58,6230.91,6510.58,6775.85,6703.32,7048.88,7161.79,7540.46,7716.45,8238.6,8042.44,8188.65,8583.55,8820.15,8936.94,9205.82,9681.31,9725.22,9476.67,9183.7,8827.59,8308.08,7572.23,7942.9,7992.39,8821.95,8643.54,8515.88,8558.03
Latvia,13607.81,11293.11,6156.11,2834.55,-2020.07,-2265.48,-2369.79,-1161,-713.85,2190.12,-1669.63,-1551.99,145.88,715.22,4392.08,5118.83,4837.49,5684.47,4845.45,7076.07,9938.69,8737.42,7196.52,8379.97,12124.84,10909.89,9062.02,7650.22,10669.95,8710.42
Lithuania,42329.61,44212.41,25306.16,18275.17,17395.24,17700.86,24268.56,22610.71,15977.08,13845.82,10008.86,12974.29,14298.84,15172.23,16444.07,18336.33,19032.29,19290.87,17666.4,12392.2,10327.02,10750.6,11265.83,10623.48,11516.61,12459.42,13194.77,14030.22,13805.54,15058.49
