Country,Year,GDP [million Euro],Population,Emissions_GHG [thousand tonnes CO2eq],Emissions_NOx [tonne],Emissions_PM2.5 [tonne],Emissions_PM10 [tonne],Emissions_SOx [tonne],Emissions_NMVOC [tonne],Emissions_NH3 [tonne],Emissions_Pb [tonne],Emissions_Cd [tonne],Emissions_Hg [tonne],Emissions_As [tonne],Emissions_Ni [tonne],Emissions_Cr [tonne],Cost_GHG [Euro per tonnes CO2eq],Cost_NOx [Euro per tonne],Cost_PM2.5 [Euro per tonne],Cost_PM10 [Euro per tonne],Cost_SOx [Euro per tonne],Cost_NMVOC [Euro per tonne],Cost_NH3 [Euro per tonne],Cost_Pb [Euro per kg],Cost_Cd [Euro per kg],Cost_Hg [Euro per kg],Cost_As [Euro per kg],Cost_Ni [Euro per kg],Cost_Cr [Euro per kg]
Belgium,2000,256376.4,10239085,147197.8,360300,40030,54960,170550,232110,93460,98,3,3,4,35,21,105,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,2000,14440,8190876,39208.65,144350,25310,46360,863180,108380,50610,275,4,2,7,8,8,105,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,2000,67032.5,10278098,141399.99,297780,49480,66090,233010,313890,105760,219,2,3,4,14,12,105,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,2000,178018.1,5330020,76598.44,226440,21150,33070,32540,185300,97400,20,1,1,1,8,2,105,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,2000,2109090,82163475,1027336.92,1904660,168880,302670,650750,1803990,626880,357,18,18,8,166,83,105,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,2000,6171.6,1401250,13274.54,45660,15380,32130,97120,36610,8600,40,1,1,9,6,8,105,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,2000,108495.3,3777565,76064.68,182480,20140,38570,144280,122620,119850,15,1,0,2,32,5,105,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,2000,142976,10775627,124591.03,430350,66520,128180,553490,308440,75270,340,8,3,3,50,7,105,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,2000,647851,40470182,348537.54,1351250,163830,249050,1388810,933890,523540,477,17,9,16,197,35,105,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,2000,1478585,60545022,529295.95,1708630,316510,420310,616120,2044340,662490,262,14,12,15,177,112,105,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,2000,23659.5,4497735,19106.17,90910,35300,44500,60380,102810,44050,143,1,0,1,13,3,105,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,2000,1241512.9,56923524,536177.49,1504350,194560,248100,756370,1630280,453870,964,10,14,39,107,44,105,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,2000,10804.6,690497,8238.6,22420,2540,4760,47600,13280,9920,20,0,0,0,10,0,105,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,2000,8632.3,2381715,-1669.63,41820,27130,31700,17760,54000,13570,153,1,0,15,7,2,105,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,2000,12475.7,3512074,10008.86,61320,7310,9090,39050,60650,33720,3,0,0,0,6,1,105,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,2000,22986,433600,9058.16,41330,2420,3000,3660,16100,6100,1,0,0,0,0,0,105,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,2000,51238.5,10221644,74079.69,188790,50110,74450,427350,190290,85180,19,2,2,3,14,12,105,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
