Country,Year,Population,External Cost,Share External Cost,GDP [million Euro],GrDP per capita
Belgium,2000,10239085,126650.9641,49.40039883,256376.4,12669.6317
Bulgaria,2000,8190876,80106.705,554.7555748,14440,-8017.055197
Czechia,2000,10278098,96289.11811,143.6454229,67032.5,-2846.501182
Denmark,2000,5330020,24463.60292,13.74219977,178018.1,28809.36602
Germany,2000,82163475,506032.3303,23.99292256,2109090,19510.58752
Estonia,2000,1401250,5122.71192,83.00460043,6171.6,748.5374344
Ireland,2000,3777565,29751.46629,27.42189412,108495.3,20845.13005
Greece,2000,10775627,83427.5063,58.35070662,142976,5526.220767
Spain,2000,40470182,293482.2003,45.30087942,647851,8756.2937
France,2000,60545022,408345.5168,27.61731769,1478585,17676.75439
Croatia,2000,4497735,32596.52743,137.7735262,23659.5,-1987.006222
Italy,2000,56923524,602515.6194,48.53075786,1241512.9,11225.53974
Cyprus,2000,690497,3151.89156,29.1717561,10804.6,11082.8989
Latvia,2000,2381715,11444.69802,132.5799384,8632.3,-1180.828949
Lithuania,2000,3512074,4833.23004,38.74115312,12475.7,2176.056074
Luxembourg,2000,433600,6168.02999,26.83385535,22986,38786.8312
Hungary,2000,10221644,88053.25185,171.8497845,51238.5,-3601.646844
Malta,2000,388759,915.82857,20.75579209,4412.4,8994.187736
Netherlands,2000,15863950,114221.0664,25.26975608,452007,21292.67513
Austria,2000,8002186,44150.26706,20.66897171,213606.5,21176.24271
Poland,2000,38263303,207094.4885,110.9011553,186737.9,-532.0133615
Portugal,2000,10249022,65985.63808,51.38492107,128414.4,6091.192108
Romania,2000,22455485,112592.0308,277.3551132,40594.9,-3206.215802
Slovenia,2000,1987755,27151.89446,124.1694919,21866.8,-2658.825892
Slovakia,2000,5398657,40896.33265,182.6617982,22389.1,-3428.117891
Finland,2000,5171302,16171.28696,11.85213275,136442,23257.33694
Sweden,2000,8861426,13370.35643,4.688880366,285150.3,30670.00092
Norway,2000,4478497,13619.69715,7.330757543,185788.4,38443.41145
Switzerland,2000,7164444,39054.30623,12.87415614,303354.3,36890.5101
United Kingdom,2000,58785246,471999.1093,26.25002401,1798090.2,22558.22984
Belgium,2001,10263414,122340.4078,46.2823516,264334.9,13835.01554
Bulgaria,2001,8149468,77572.53543,487.7150097,15905.3,-7567.0259
Czechia,2001,10232027,92859.41968,122.6592357,75705.2,-1676.522128
Denmark,2001,5349212,24223.68231,13.1617829,184045.6,29877.65631
Germany,2001,82259540,494844.5898,22.77723723,2172540,20395.147
Estonia,2001,1392720,5149.94977,73.70654163,6987.1,1319.109534
Ireland,2001,3832783,29683.25717,24.31276245,122089.2,24109.35939
Greece,2001,10835989,77046.35154,50.62384377,152193.8,6934.987518
Spain,2001,40665545,277058.672,39.52374303,700993,10424.90216
France,2001,60979315,392384.3685,25.50932054,1538200,18790.23455
Croatia,2001,4295406,32370.22516,124.7537322,25947.3,-1495.301064
Italy,2001,56960692,576908.0465,44.23677382,1304136.8,12767.20363
Cyprus,2001,697549,3042.94894,26.22576201,11602.9,12271.46919
Latvia,2001,2353384,11636.09284,124.1262677,9374.4,-961.0385895
Lithuania,2001,3486998,5299.20074,38.78050393,13664.6,2399.026114
Luxembourg,2001,439000,6522.44906,27.31355265,23879.9,39538.61262
Hungary,2001,10200298,83774.91311,139.5948423,60012.9,-2329.541069
Malta,2001,391415,964.57645,21.12750958,4565.5,9199.758696
Netherlands,2001,15987075,111875.853,23.21648975,481881,23144.01772
Austria,2001,8020946,45195.53208,20.49450701,220525.1,21858.96376
Poland,2001,38253955,200484.132,94.19737345,212834.1,322.841599
Portugal,2001,10330774,65845.85707,48.49630423,135775,6769.012944
Romania,2001,22430457,107279.5375,237.6406345,45143.6,-2770.15923
Slovenia,2001,1990094,25881.85249,111.324105,23249.1,-1322.928711
Slovakia,2001,5378783,41198.3954,172.3075701,23909.8,-3214.220652
Finland,2001,5181115,17094.90633,11.81991477,144628,24614.98995
Sweden,2001,8882792,13001.1633,4.805909742,270524.5,28991.26048
Norway,2001,4503436,13373.48783,6.880697004,194362.4,40189.07167
Switzerland,2001,7204055,37888.28672,11.8067834,320902.7,39285.43206
United Kingdom,2001,58999781,460642.2,25.16390136,1830567.5,23219.15907
Belgium,2002,10309725,117654.6176,43.05656989,273255.9,15092.67051
Bulgaria,2002,7868815,75346.55935,431.0863147,17478.3,-7354.126301
Czechia,2002,10201182,89267.31252,102.1853845,87358.2,-187.1462072
Denmark,2002,5368354,23930.213,12.60845945,189794.9,30896.74917
Germany,2002,82440309,478287.4418,21.75893226,2198120,20861.54915
Estonia,2002,1383510,4992.97879,63.82761217,7822.6,2045.248108
Ireland,2002,3899702,26345.04172,19.37169606,135997.6,28118.1891
Greece,2002,10888274,76134.87262,46.57683837,163460.8,8020.180919
Spain,2002,41035278,285441.3799,38.08159807,749552,11310.03962
France,2002,61424036,374217.1039,23.56784666,1587829,19757.93151
Croatia,2002,4305494,31814.61536,110.6603015,28749.8,-711.8382606
Italy,2002,56987507,515112.651,38.1491765,1350258.9,14654.90057
Cyprus,2002,705539,3029.93206,25.07619909,12082.9,12831.27926
Latvia,2002,2320956,11734.3102,115.3963653,10168.7,-674.55402
Lithuania,2002,3454637,5385.7709,35.5419011,15153.3,2827.367709
Luxembourg,2002,444050,6409.8266,25.6279276,25011.1,41890.04256
Hungary,2002,10174853,70515.28045,98.27078179,71756.1,121.9496291
Malta,2002,394641,973.41583,20.53230041,4740.9,9546.611148
Netherlands,2002,16105285,107970.8142,21.54516912,501137,24412.2464
Austria,2002,8063640,45985.42747,20.2815564,226735.2,22415.407
